"ZIP Code","JENI Rank","JENI Percentile","JENI Category","Population","Supervisorial District","Service Planning Area","Neighborhood","System Involvement Percentile","System Involvement Category","Inequity Drivers Percentile","Inequity Drivers Category","Criminalization Risk Percentile","Criminalization Risk Category","% Black Population","% Latinx Population","% American Indian / Alaskan Native Population","% Native Hawaiian / Pacific Islander Population","% of Population without a High School Diploma","Below 200% Poverty Level Rate","Unemployment Rate","Mental Health Hospitalizations (per 1K)","Alcohol and Drug-Related Hospitalizations (per 1K)","Violent Crime Rate (per 1K)","Homelessness Rate (per 1K)"
"91768","35","87.7","Highest","34921","1","3","Pomona","67.4","High","95","Highest","90.3","Highest","4.5","72.7","3","0.5","32.1","47.6","8.7","8.3","7.3","6.4","2.5"
"90744","36","87.3","Highest","57432","4","8","Wilmington","87.3","Highest","93.5","Highest","61.6","High","3.1","88.5","4","1.2","43","50.7","6.1","4.4","1.1","6.8","10.6"
"90805","37","87","Highest","95389","4","8","Long Beach","89.5","Highest","90.3","Highest","62.7","High","18","59.3","1.9","2.3","26.6","46.2","8.9","8","1","3.5","3.1"
"91103","38","86.6","Highest","27768","5","3","Pasadena","87","Highest","62.4","High","95","Highest","13.8","51.7","1.4","0.4","22.8","40.2","4","10.7","1.8","3.4","4.9"
"93550","39","86.2","Highest","76449","5","1","Angeles Crest","96.7","Highest","96.1","Highest","36.6","Low","13.1","67.4","2.9","0.8","31.5","52.2","9.2","4.8","1","4.9","3.1"
"90220","40","85.9","Highest","53040","2","6","Compton","89.9","Highest","92.8","Highest","53","Moderate","32.7","61.2","1","0.4","34.8","45.7","9.3","5.2","1","8.3","5.4"
"90018","41","85.5","Highest","54949","2","6","Jefferson Park","85.9","Highest","88.9","Highest","73.5","High","27.7","59","1.1","0.3","29.7","47.8","7.9","7.2","1.1","6.4","4.6"
"90001","42","85.1","Highest","60432","2","6","Florence-Firestone","92.4","Highest","92.1","Highest","48.4","Moderate","8.4","90.3","0.8","0","53","59.8","8.7","4.8","0.7","8.1","12.1"
"90038","43","84.8","Highest","26889","3","4","Hollywood","79","High","79.9","High","87.8","Highest","6.3","52.9","1.6","0.3","25.3","46.9","5.6","6.4","1.2","8.4","17.9"
"90301","44","84.4","Highest","38396","2","8","Inglewood","76.1","High","95.3","Highest","66.7","High","29.1","59.8","3.5","1.2","30","47.3","8.4","4.9","1.2","6.7","7.5"
"93543","45","84.1","Highest","14116","5","1","Southeast Antelope Valley","90.2","Highest","76.3","High","64.9","High","5.1","64.4","2.5","0","38.4","48.8","8.5","4","1.2","1.9","13"
"90804","46","83.7","Highest","39484","4","8","Long Beach","91.3","Highest","60.6","High","83.2","Highest","12.2","43","1.7","0.4","23","44.4","4.3","8.5","1.6","2.4","2.3"
"90810","47","83.3","Highest","37255","4","8","Carson","78.6","High","90","Highest","65.9","High","10.4","54.8","2.4","3","28.2","42.5","8","6.5","1.1","4.7","3.6"
"90029","48","83","Highest","37611","1","4","East Hollywood","74.3","High","81","Highest","84.2","Highest","3.5","52.4","0.9","0.5","25.8","47.3","7.9","5.4","1.3","6.1","8"
"91766","49","82.6","Highest","66614","1","3","Pomona","83","Highest","85.7","Highest","60.2","High","3.9","73.2","4","0.2","33.8","46","6.3","7.4","0.8","4.9","4.8"
"91731","50","82.2","Highest","30248","1","3","El Monte","69.6","High","92.5","Highest","69.9","High","0.4","61.9","3.9","1.4","41","50.6","7.8","7.7","1","4.7","4.3"
"91605","51","81.9","Highest","53871","3","2","Sun Valley","75","High","78.9","High","79.9","High","3.3","60.5","1.5","0.5","29.4","43.3","6.7","5.8","1.1","4.5","18.2"
"91352","52","81.5","Highest","46216","5","2","Shadow Hills","75.4","High","74.2","High","86","Highest","1.6","70.2","1.3","0.8","33.4","42.2","6","6","1.2","3.6","10.9"
"90023","53","81.2","Highest","47211","1","7","Boyle Heights","76.4","High","82.8","Highest","69.2","High","1.1","96.4","1.1","0","51.9","57.6","7.2","6.7","0.8","6.8","8.3"
"90006","54","80.8","Highest","60011","2","4","Pico-Union","79.7","High","83.5","Highest","61.6","High","3","73.1","1.2","0.1","41.3","61.6","7.1","7.3","0.7","6","5.9"
"91723","55","80.4","Highest","17694","1","3","Covina","86.2","Highest","58.8","Moderate","80.6","Highest","3.5","63.8","3.5","1.3","14.5","32","5.1","12.9","1.6","2.8","1.3"
"91606","56","80.1","Highest","43932","3","2","North Hollywood","62.3","High","68.5","High","93.2","Highest","4.1","54","1.3","0.6","24.4","42.4","5.2","7.5","1.5","4.4","7.9"
"90019","57","79.7","High","64963","2","4","Mid-Wilshire","80.4","Highest","64.9","High","77.4","High","17.5","44.9","1.3","0.4","24","41.1","4.3","6.3","1.2","5.6","4.6"
"91706","58","79.3","High","76852","1","3","Irwindale","78.3","High","70.3","High","68.8","High","1.3","74.7","6.4","0.5","33.5","37.5","6","6.9","0.8","2.3","7.3"
"90022","59","79","High","66454","1","7","East Los Angeles","82.2","Highest","86.7","Highest","40.9","Moderate","0.2","95.4","1.4","0","45.6","49.3","8.9","4.9","0.8","6.5","4.8"
"90032","60","78.6","High","48015","1","4","El Sereno","63.8","High","77.8","High","78.1","High","1.6","77.8","1.9","0.3","33.4","42.9","8.6","6.5","1.2","3.2","5"
"90302","61","78.3","High","29819","2","8","Inglewood","80.1","Highest","88.2","Highest","43","Moderate","40.4","46.6","3.2","0.3","19.2","41.9","10.5","4.8","1.2","4.7","2.1"
"90706","62","77.9","High","77036","4","7","Bellflower","76.8","High","73.8","High","60.6","High","13","55.9","1.2","0.8","23.4","36.2","5.8","10.3","0.8","4","3.1"
"90040","63","77.5","High","13231","4","7","Commerce","68.8","High","88.5","Highest","53.8","Moderate","3.1","92.8","2.4","0.2","41.3","44.2","7.8","4.7","0.8","5.8","42"
"90247","64","77.2","High","46314","2","8","Gardena","83.7","Highest","74.9","High","48","Moderate","17.8","48.9","1.4","0.6","21.4","39.5","5.9","5.4","0.8","4.8","4.3"
"91402","65","76.8","High","71141","3","2","Panorama City","69.2","High","82.1","Highest","55.2","Moderate","3.3","72.8","1","0.3","34.6","51.6","8.5","6.3","0.8","4.4","5.1"
"90303","66","76.4","High","21793","2","8","Inglewood","81.2","Highest","84.9","Highest","34.1","Low","28.5","66.1","1.8","0.2","32.1","43.3","6","5.5","0.9","7.2","2"
"91405","67","76.1","High","55028","3","2","Van Nuys","71","High","76","High","58.4","Moderate","5","60.8","0.8","0.2","25.5","49.3","7.9","6","1","4.6","4.2"
"90305","68","75.7","High","15116","2","8","Inglewood","92","Highest","50.2","Moderate","63.4","High","80.1","12.8","0.3","1.5","7.6","19.3","5.2","5","1.1","8.2","6.4"
"91702","69","75.4","High","61155","5","3","Angeles Crest","72.5","High","66.3","High","70.3","High","2.8","67.5","4.6","0.4","22","36.4","5.9","7.4","0.9","2.6","5"
"90063","70","75","High","52809","1","7","East Los Angeles","81.9","Highest","81.4","Highest","34.8","Low","0.3","95.9","1","0.4","46.5","49.4","8.5","4.3","0.9","4","4.3"
"90262","71","74.6","High","69764","4","6","Lynwood","73.6","High","91","Highest","27.2","Low","8.2","87.9","1","0.2","43.3","49.7","8.4","7","0.7","6.2","1.3"
"90007","72","74.3","High","44001","2","6","University Park","43.1","Moderate","97.5","Highest","59.1","Moderate","10","48.9","1.3","0.4","35.3","65.5","13.6","6.1","0.7","8.3","9.4"
"91601","73","73.9","High","37114","5","2","North Hollywood","71.7","High","57.7","Moderate","74.6","High","7.2","34.2","1.1","0.5","12.7","37.4","5.4","5.2","1.3","5.2","6.1"
"90710","74","73.6","High","28158","4","8","Harbor City","68.5","High","77.1","High","50.2","Moderate","12.8","42.4","1.6","2.3","20.3","32.3","6.5","3.8","1.2","4.9","8.5"
"93536","75","73.2","High","69340","5","1","Northwest Antelope Valley","88.8","Highest","54.5","Moderate","47.7","Moderate","14.1","30.9","3","0.5","12.8","25.7","5.3","4.4","1.1","2.6","5.1"
"91401","76","72.8","High","39102","3","2","Valley Glen","65.9","High","61.6","High","76","High","4.8","41.3","1","0.2","18.5","42.3","6.3","13.8","1.1","3.4","2.9"
"91732","77","72.5","High","62909","1","3","El Monte","74.6","High","68.8","High","52","Moderate","0.5","67.5","3.5","0.4","38.9","48.3","5.4","7.6","0.7","2.7","4"
"93544","78","72.1","High","1055","5","1","Northeast Antelope Valley","88","Highest","69.5","High","24.4","Low","4.5","43.3","1.4","0","21.9","39.1","","3.2","0.3","7.6","92.3"
"91331","79","71.7","High","105311","3","2","Pacoima","75.7","High","71","High","45.9","Moderate","2.8","86.1","1.2","0.2","42.4","41.6","5.7","4.9","1","3.7","4.2"
"90230","80","71.4","High","31348","2","5","Culver City","62.7","High","36.9","Low","94.6","Highest","10.3","29.2","1.2","0.9","10.4","19.1","4","9.7","2","3.8","4.2"
"90304","81","71","High","27828","2","8","Lennox","73.9","High","89.2","Highest","17.2","Lowest","6.4","84.8","1.1","1.4","43.6","50.5","5.5","2.7","0.7","6.1","7"
"90042","82","70.7","High","61491","1","4","Highland Park","65.6","High","72","High","54.8","Moderate","2","61.6","5.7","0.5","22.6","36.7","6.7","4.9","1.2","2.9","4.1"
"90404","83","70.3","High","21892","3","5","Santa Monica","43.5","Moderate","60.9","High","92.8","Highest","7.2","27.8","1.7","0.4","10.1","29.1","6","6.2","1.9","5.9","8.5"
"90291","84","69.9","High","26668","3","5","Venice","52.5","Moderate","38.4","Low","95.3","Highest","5.5","19.4","1.3","0.1","5.6","19.7","5.3","6","1.9","13.4","59.9"
"90602","85","69.6","High","24961","4","7","Whittier","83.3","Highest","33.3","Low","71","High","1.5","76","1","0.2","16.4","38.3","4.6","7.6","1","1.7","4.5"
"90031","86","69.2","High","40184","1","4","Lincoln Heights","55.4","Moderate","86.4","Highest","45.9","Moderate","1.5","67.1","3.1","0.2","38.5","51.2","8.8","3.7","1.1","4.1","8.6"
"91001","87","68.8","High","37869","5","3","Angeles Crest","72.1","High","40.9","Moderate","79.6","High","25.1","29.8","2","0.3","10.5","19.3","5.6","7.9","1.5","2","2"
"91724","88","68.5","High","26635","1","3","Covina","50","Moderate","65.2","High","76.3","High","3.5","52.9","3","0.7","13","27.7","6.8","9.8","1.5","3.2","1.4"
"91411","89","68.1","High","25018","3","2","Van Nuys","58","Moderate","56.6","Moderate","78.5","High","4.6","51.4","0.6","0.1","23.2","41.5","5.2","8.1","1","4.8","6.5"
"90746","90","67.8","High","27737","2","8","Carson","84.4","Highest","67.7","High","24","Low","59.6","19.8","2.6","1.5","13.8","20.6","7.2","5.5","0.8","4","1.3"
"90026","91","67.4","High","67002","1","4","Echo Park","55.8","Moderate","72.8","High","57","Moderate","3.6","49.7","2.4","0.5","21.6","39.4","6.2","4.8","0.9","4.2","21"
"91335","92","67","High","80974","3","2","Reseda","48.2","Moderate","62","High","81","Highest","3.8","52.3","1.5","0.4","22.6","36","5.6","6.8","1.4","3.6","3.4"
"90280","93","66.7","High","95484","4","7","South Gate","64.5","High","87.1","Highest","26.2","Low","0.5","95.5","1.1","0.2","43.3","45.3","9.6","4.9","0.5","7","4.2"
"90717","94","66.3","High","21218","4","8","Lomita","72.8","High","43.4","Moderate","71","High","6.3","33","2.2","0.7","12.7","23.5","3.5","5.7","2","3","1.7"
"91345","95","65.9","High","19324","3","2","Mission Hills","50.7","Moderate","64.2","High","72","High","0.9","69.7","1","1.4","20.6","25.9","6.6","5","1.3","3.8","5.3"
"93552","96","65.6","High","39982","5","1","Palmdale","87.7","Highest","76.7","High","7.9","Lowest","12.5","70.4","1.7","0.2","30.6","38","7.4","4.2","0.5","2.9","1.3"
"91343","97","65.2","High","65870","3","2","North Hills","66.3","High","67","High","45.5","Moderate","4.4","59.9","0.7","0.3","24.9","41.9","6.7","5.1","1.1","3.4","2.7"
"91746","98","64.9","High","30246","1","3","Industry","67","High","71.7","High","38.7","Low","0.9","82.4","1.6","0.5","32.5","32.1","7.6","5","0.6","2.7","5.8"
"90249","99","64.5","High","27775","2","8","Gardena","80.8","Highest","70.6","High","18.6","Lowest","27.6","39.4","2.9","3.1","20","32.3","5","5","0.9","5.7","1.1"
"91340","100","64.1","High","35752","3","2","San Fernando","79.3","High","59.9","Moderate","32.3","Low","1.6","92.7","1.2","0","38.6","44.2","4.6","3.5","1.2","3.6","3.2"
"90255","101","63.8","High","75606","4","7","Huntington Park","70.7","High","86","Highest","12.9","Lowest","0.6","97.2","0.7","0.3","52.5","53.3","8","3.8","0.5","6.8","3.5"
"91733","102","63.4","High","45309","1","3","South El Monte","56.2","Moderate","79.6","High","39.1","Low","0.2","75.2","1.1","1","44.6","51.5","6.2","5","0.8","3.4","4.2"
"90502","103","63","High","17778","2","8","West Carson","59.4","Moderate","48.7","Moderate","77.1","High","5.8","37.3","0.6","1","17","23.7","4.3","6.4","1","4.2","9.4"
"90606","104","62.7","High","32656","4","7","West Whittier-Los Nietos","77.2","High","52.7","Moderate","44.8","Moderate","0.7","87","1.9","0.3","25.4","28.9","4.7","5","0.6","2.8","7.3"
"91042","105","62.3","High","26775","5","2","Tujunga Canyons","49.3","Moderate","42.3","Moderate","88.2","Highest","2.2","24.9","1.2","0.2","13.3","33","6.1","8.7","1.9","2.2","2.5"
"91744","106","62","High","84581","1","3","La Puente","81.5","Highest","63.4","High","20.1","Low","1.2","80.7","1.3","0.4","33.2","34.5","6.7","5.7","0.6","2.2","1.5"
"91406","107","61.6","High","56849","3","2","Van Nuys","54","Moderate","65.9","High","53","Moderate","4.5","57.7","1.2","0.1","23.1","41","6","5.3","1","4.4","4.2"
"91104","108","61.2","High","37576","5","3","Pasadena","52.9","Moderate","44.8","Moderate","82.8","Highest","7.5","40.7","1.3","0.8","16.8","31.4","4.3","7.4","1.9","1.6","2"
"91105","109","60.9","High","12644","5","3","Pasadena","50.4","Moderate","15.8","Lowest","97.8","Highest","5.9","13.2","1","0","3.2","13.3","4.4","12.5","2.7","5.6","6.5"
"91342","110","60.5","High","94857","5","2","Tujunga Canyons","61.6","High","54.1","Moderate","64.2","High","3.7","76.5","1.6","0.1","29.5","34.5","3.7","5.4","1.2","3.2","4.2"
"90755","111","60.1","High","11559","4","7","Signal Hill","55.1","Moderate","62.7","High","55.6","Moderate","11.1","31.8","0.9","1","13.5","28.4","5.4","5","1.2","8.2","4"
"90065","112","59.8","Moderate","47767","1","4","Glassell Park","47.8","Moderate","65.6","High","59.1","Moderate","1.8","58.6","3.8","0.1","23.5","35.1","7.3","4.7","1.2","3","5"
"91740","113","59.4","Moderate","27658","5","3","Glendora","45.7","Moderate","49.1","Moderate","86.7","Highest","2.4","41.7","3.4","1.2","10.9","21.8","6.2","15.3","1.3","1","3.2"
"90250","114","59.1","Moderate","96917","2","8","Hawthorne","69.9","High","77.4","High","14.7","Lowest","21.8","55","1.7","1","22.4","37.8","5.4","4.4","0.8","6.8","1.9"
"90650","115","58.7","Moderate","105114","4","7","Norwalk","68.1","High","68.1","High","27.2","Low","4.5","69.6","1.1","0.9","23.6","32.8","5.8","5.6","0.8","3.3","1.6"
"90004","116","58.3","Moderate","58991","2","4","Koreatown","49.6","Moderate","63.8","High","56.6","Moderate","3.5","50.6","0.6","0.7","25.6","46.9","4.5","5","0.9","5","9.8"
"91351","117","58","Moderate","32121","5","2","Santa Clarita","64.1","High","45.2","Moderate","65.2","High","3.6","46.9","2.6","0.2","14.1","23.9","6.2","6.4","1.8","1.3","0.7"
"90723","118","57.6","Moderate","54596","4","6","Paramount","70.3","High","78.5","High","11.1","Lowest","8.8","81","0.9","1.1","35.2","43.9","5.3","4.7","0.5","4","1.6"
"91303","119","57.2","Moderate","31531","3","2","Canoga Park","73.2","High","64.5","High","19.7","Lowest","2.7","62.5","0.8","0.1","26.7","41.5","5.6","3.8","0.9","5.9","3.7"
"90201","120","56.9","Moderate","101096","4","7","Bell","64.9","High","79.2","High","15.4","Lowest","0.8","94.6","0.7","0.2","48.6","57.7","7.4","5.2","0.4","4","1.7"
"90034","121","56.5","Moderate","54481","3","5","Palms","62","High","34.8","Low","74.2","High","10.1","24.9","1.1","0.6","8.5","22.6","4.6","6.2","1.3","2.8","3.9"
"90501","122","56.2","Moderate","42046","4","8","Torrance","58.7","Moderate","60.2","High","47.3","Moderate","5.1","43.7","1.8","0.8","14.9","31.1","5.5","4.2","1.3","3.2","3.4"
"93551","123","55.8","Moderate","51977","5","1","Palmdale","71.4","High","57","Moderate","28.7","Low","9.9","38.7","1.5","0.7","12.7","22.3","6.4","4.6","1.1","2.5","1.7"
"90640","124","55.4","Moderate","63641","1","7","Montebello","67.8","High","63.1","High","29","Low","0.9","77.2","1.1","0.1","26.4","39.2","7","5.2","0.8","2.8","2.7"
"91040","125","55.1","Moderate","20973","5","2","Shadow Hills","65.2","High","27.2","Low","76.3","High","1.2","22.8","2.4","0.6","11.9","20.4","4.8","6.5","1.4","2.1","2.9"
"90670","126","54.7","Moderate","16904","4","7","Santa Fe Springs","58.3","Moderate","55.2","Moderate","50.5","Moderate","3.5","75.1","2.4","0.5","17.3","25.5","2.9","4.7","1","5.6","6.6"
"91101","127","54.3","Moderate","20779","5","3","Pasadena","60.9","High","28","Low","75.6","High","7.9","26.2","1.6","0.4","7.9","35.9","3.7","6.2","2.6","1.1","1.6"
"93510","128","54","Moderate","7563","5","1","Tujunga Canyons","51.4","Moderate","16.5","Lowest","91","Highest","1.1","22.5","1.3","0","7.4","22.3","5.1","5.3","2.2","1.9","10.2"
"90232","129","53.6","Moderate","14943","2","5","Culver City","39.1","Low","28.3","Low","96.4","Highest","5.5","26.4","0.9","0.4","6.5","18.4","4","36.7","6.6","7.1","4.1"
"91324","130","53.3","Moderate","30069","3","2","Northridge","47.1","Moderate","50.5","Moderate","69.5","High","4.4","37","1.7","0.4","13.9","28.4","3.8","5.8","1.7","4.8","1.8"
"90716","131","52.9","Moderate","14052","4","7","Hawaiian Gardens","82.6","Highest","67.4","High","6.5","Lowest","3.2","77.9","1.2","0.2","36.7","45.9","5.5","4.1","0.5","3.4","1.3"
"91722","132","52.5","Moderate","35561","1","3","Covina","46.7","Moderate","58.1","Moderate","52.3","Moderate","2.4","65","2.1","1","18.1","24.7","6","8","0.9","2.2","2.3"
"91204","133","52.2","Moderate","17910","5","2","Glendale","57.2","Moderate","54.8","Moderate","49.8","Moderate","2.3","34.2","0.9","0","20.5","47.8","9.9","7.9","1.2","0.4","0.3"
"90807","134","51.8","Moderate","32839","4","8","Long Beach","42.8","Moderate","46.2","Moderate","86.4","Highest","15","30.2","0.9","1","10.2","22","3.7","9.2","1.1","6.5","5.5"
"90010","135","51.4","Moderate","5199","2","4","Koreatown","40.9","Moderate","87.8","Highest","31.2","Low","6.5","35.3","1.5","0.8","22.8","49","6.1","4.1","0.4","13.7","16.8"
"90242","136","51.1","Moderate","41978","4","7","Downey","63","High","50.9","Moderate","46.6","Moderate","5","74.9","0.8","0.4","21.5","28.2","5.2","14.8","0.7","2.7","1.9"
"91205","137","50.7","Moderate","38401","5","2","Glendale","56.5","Moderate","47.3","Moderate","56.3","Moderate","1.9","21.4","0.3","0.3","17.3","45.4","7.4","6.7","1.6","0.4","0.3"
"90248","138","50.4","Moderate","11930","2","8","Harbor Gateway","60.5","High","58.4","Moderate","34.4","Low","16.3","40","0.9","0.9","14.9","27.2","4.3","3.2","0.8","9.3","19.2"
"90260","139","50","Moderate","33420","2","8","Lawndale","61.2","High","66.7","High","22.2","Low","9","59.9","0.9","1.2","25.6","40.1","4.3","3.8","1.3","4","1.2"
"90005","140","49.6","Moderate","40470","2","4","Koreatown","44.9","Moderate","80.3","Highest","23.3","Low","5.7","47.6","1","0.6","27.7","52.2","6.1","3.9","0.7","6","4.7"
"90605","141","49.3","Moderate","40781","4","7","Whittier","66.7","High","59.5","Moderate","21.5","Low","0.7","76.7","2.4","0.5","20","30.7","5.7","5.4","0.9","3.2","1"
"90660","142","48.9","Moderate","63090","4","7","Pico Rivera","54.3","Moderate","44.4","Moderate","55.9","Moderate","0.8","90.7","0.9","0.2","29.1","29","5.1","7.7","0.9","2.4","2.6"
"91010","143","48.6","Moderate","25890","5","3","Duarte","45.3","Moderate","72.4","High","31.2","Low","6","52.9","4.7","0.8","18","24.9","6.8","6.5","0.8","3.7","1.1"
"90270","144","48.2","Moderate","27385","4","7","Maywood","54.7","Moderate","73.1","High","16.1","Lowest","0.3","98.3","0.2","0","50.5","51.4","7.8","5.3","0.3","3.2","1.9"
"91311","145","47.8","Moderate","40404","3","2","Unincorporated Santa Susana Mountains","38.4","Low","43","Moderate","87.5","Highest","5.3","25.5","1.3","1.1","7.2","19.4","5.5","5.7","2.9","2.9","4.1"
"91016","146","47.5","Moderate","41382","5","3","Angeles Crest","42.4","Moderate","51.6","Moderate","72.8","High","5.2","42.7","2.7","1.4","11","24.8","5.8","7.2","1.4","1.5","2"
"91356","147","47.1","Moderate","30696","3","2","Tarzana","43.8","Moderate","45.5","Moderate","71","High","6.9","15.1","1.2","0.4","6.8","24.6","6.2","5.3","2.9","3.4","1.9"
"91306","148","46.7","Moderate","48228","3","2","Winnetka","46","Moderate","59.1","Moderate","41.2","Moderate","4.2","49.8","1","0.5","22.8","37.3","5.9","4.6","1.4","2.7","1.4"
"91502","149","46.4","Moderate","11415","5","2","Burbank","41.7","Moderate","37.3","Low","80.3","Highest","2.1","32.2","1","0","11.3","37.9","6.9","5.8","2.3","1.4","2.6"
"91790","150","46","Moderate","45233","1","3","West Covina","47.5","Moderate","49.8","Moderate","51.3","Moderate","2.7","61.3","1.8","0.8","16.6","28.1","5.1","8","0.9","1.7","2.2"
"90745","151","45.7","Moderate","56241","2","8","Carson","56.9","Moderate","61.3","High","21.9","Low","7.3","42.6","1.4","4.1","20.5","26.4","5.6","4.8","0.9","2.5","1.6"
"90241","152","45.3","Moderate","43760","4","7","Downey","53.3","Moderate","55.9","Moderate","33.3","Low","2.7","75.6","0.9","0.3","19.3","30.4","6.4","5.4","0.7","2.8","3.3"
"90701","153","44.9","Moderate","16766","4","7","Artesia","52.2","Moderate","53.8","Moderate","40.1","Moderate","5.1","39.8","0.6","1.1","20.4","29.9","5.4","9.6","0.6","2.4","1.5"
"91321","154","44.6","Moderate","33176","5","2","Santa Clarita","51.8","Moderate","52.3","Moderate","42.3","Moderate","3.4","47.4","2.9","0.3","19","34.2","5.2","5.4","1.3","2.1","0.5"
"90066","155","44.2","Moderate","58059","3","5","Mar Vista","27.2","Low","46.6","Moderate","83.9","Highest","4.1","30.8","2.8","0.7","12.6","24.3","5.2","4.9","1.9","2.4","6.1"
"90046","156","43.8","Moderate","49056","3","4","Hollywood Hills West","35.1","Low","48.4","Moderate","73.8","High","4.9","10.9","1.2","0.6","3","25.2","6.6","5","1.7","4.7","3.9"
"90704","157","43.5","Moderate","4167","4","8","Unincorporated Catalina Island","59.1","Moderate","25.8","Low","50.9","Moderate","0.4","50.6","1.8","1.2","13.2","29.2","0","2.9","1.4","1","7.5"
"91750","158","43.1","Moderate","33930","5","3","Angeles Crest","53.6","Moderate","45.9","Moderate","39.4","Low","3","35.8","1.8","1.1","8","19.4","7.2","6.7","1.1","1.5","0.3"
"91304","159","42.8","Moderate","54925","3","2","West Hills","51.1","Moderate","40.5","Moderate","40.5","Moderate","4.6","41.1","1.1","0.3","16.5","31.4","4.8","4.2","1.4","2.4","1.7"
"90715","160","42.4","Moderate","20452","4","7","Lakewood","48.9","Moderate","57.3","Moderate","20.1","Low","9.3","43.6","1.9","1.2","16","30.4","5.3","5.8","0.7","2.3","1.2"
"90604","161","42","Moderate","42603","4","7","South Whittier","59.8","Moderate","29.4","Low","37.3","Low","0.7","68.5","1.4","0.4","13.8","26.2","4.5","5.4","0.9","1.8","2.2"
"90020","162","41.7","Moderate","38047","2","4","Koreatown","36.6","Low","69.2","High","28","Low","6.1","31.9","1.7","0.8","18","42","4.6","4.5","0.7","7.5","5"
"90056","163","41.3","Moderate","9320","2","5","Ladera Heights","36.2","Low","34.4","Low","72.4","High","70.2","6.7","2.8","0.2","3.3","14.3","9","7.1","1.3","2","2.7"
"91607","164","40.9","Moderate","31368","5","2","Valley Village","38.8","Low","40.1","Moderate","63.8","High","5.9","20.1","1.1","0.2","8","26.1","6.8","5.3","1.3","2.2","2.9"
"90048","165","40.6","Moderate","21263","3","4","Beverly Grove","20.3","Low","31.9","Low","89.2","Highest","4.2","9.3","1.7","0.4","3.9","16.9","4.9","5.5","2.1","7.4","6.6"
"90601","166","40.2","Moderate","31927","4","7","North Whittier","57.6","Moderate","30.5","Low","30.5","Low","0.7","70.4","1.9","0.2","13.2","26.6","4.1","4.8","1","2.4","2.1"
"90041","167","39.9","Low","29224","1","4","Eagle Rock","19.2","Lowest","53","Moderate","73.1","High","2","36.7","3.9","1","11.5","24.3","6","5.3","1.6","2","3.4"
"91770","168","39.5","Low","62180","1","3","Rosemead","41.3","Moderate","49.5","Moderate","44.1","Moderate","0.4","33.2","0.8","0.1","32.8","40.6","4.7","9.4","0.7","3","1.5"
"90814","169","39.1","Low","19222","4","8","Long Beach","37.7","Low","36.2","Low","58.8","Moderate","11.4","24.1","1.7","0.7","7.9","25.2","3.1","4.5","1.7","3.1","2.9"
"90405","170","38.8","Low","28211","3","5","Santa Monica","22.1","Low","28.7","Low","88.5","Highest","3.5","15.7","1.8","0.1","5.4","21.5","4.7","5.5","2","6.2","4.8"
"90027","171","38.4","Low","44307","5","4","Griffith Park","30.8","Low","48","Moderate","51.6","Moderate","2.3","21.7","0.9","0.4","9.9","31.7","5.9","4.1","1.4","4","4.1"
"90035","172","38","Low","28136","3","5","Pico-Robertson","32.6","Low","19.7","Lowest","79.2","High","6.8","11.7","1","0.6","5.9","21.9","3.8","6.8","1.4","2.7","2.9"
"91387","173","37.7","Low","42678","5","2","Santa Clarita","48.6","Moderate","39.8","Low","25.1","Low","5","39.3","5","0.4","10.4","20","5.8","5.5","1","1.3","0.4"
"91106","174","37.3","Low","25028","5","3","Pasadena","34.8","Low","31.2","Low","64.5","High","6.7","30.4","1","0.5","6.8","26.6","5.2","4.9","1.8","2.1","2.5"
"91506","175","37","Low","18652","5","2","Burbank","26.8","Low","22.9","Low","77.8","High","1.4","27.6","2.3","0.4","8.7","20","5.5","5.9","1.5","1.2","3.8"
"90732","176","36.6","Low","21621","4","8","San Pedro","27.9","Low","42.7","Moderate","54.5","Moderate","5.2","31.3","1.8","1","7.4","15.3","6.2","4.2","2","1.9","2.2"
"91505","177","36.2","Low","31135","5","2","Burbank","35.9","Low","23.7","Low","66.3","High","3.3","24.3","3","0.2","6.7","17.8","5.8","4.9","1.7","1.7","2.9"
"90064","178","35.9","Low","25520","3","5","Cheviot Hills","24.3","Low","12.2","Lowest","90","Highest","2.9","14.2","1.1","0.3","5.7","17.7","3.1","5.8","1.6","3.6","9.7"
"90803","179","35.5","Low","31531","4","8","Long Beach","25.7","Low","30.1","Low","67.7","High","4.3","17.1","2","0.4","5.7","16.7","4","4","1.7","7","5.1"
"90211","180","35.1","Low","8092","3","5","Beverly Hills","35.5","Low","20.1","Low","67.4","High","4.5","8.8","0.4","0.3","3.8","18","6.6","6.1","18.8","2.2","0.4"
"90712","181","34.8","Low","30937","4","7","Lakewood","38","Low","39.4","Low","42.3","Moderate","12","33","1.1","0.9","7.6","17.2","5","5.4","1.2","3.2","1.4"
"91201","182","34.4","Low","23496","5","2","Glendale","31.9","Low","43.7","Moderate","43","Moderate","1.5","18.8","0.5","0.5","19.2","33.5","7.7","7.2","1","0.8","0.6"
