"ZIP Code","JENI Rank","JENI Percentile","JENI Category","Population","Supervisorial District","Service Planning Area","Neighborhood","System Involvement Percentile","System Involvement Category","Inequity Drivers Percentile","Inequity Drivers Category","Criminalization Risk Percentile","Criminalization Risk Category","% Black Population","% Latinx Population","% American Indian / Alaskan Native Population","% Native Hawaiian / Pacific Islander Population","% of Population without a High School Diploma","Below 200% Poverty Level Rate","Unemployment Rate","Mental Health Hospitalizations (per 1K)","Alcohol and Drug-Related Hospitalizations (per 1K)","Violent Crime Rate (per 1K)","Homelessness Rate (per 1K)"
"90292","214","22.8","Low","25043","2","5","Marina del Rey","11.6","Lowest","19","Lowest","57.3","Moderate","6.6","9.4","1.1","0.4","2.8","20.6","3.6","3.5","1.6","4.9","5"
"91801","215","22.5","Low","54780","1","3","Alhambra","31.2","Low","39.1","Low","10","Lowest","2.2","33.3","1.7","0.6","15.8","35.6","4.4","4.6","0.7","1.8","0.6"
"91107","216","22.1","Low","33566","5","3","Pasadena","30.4","Low","14.3","Lowest","30.1","Low","4.5","26.2","0.6","0.3","7.1","16.2","3.6","3.9","1.1","3.4","3.5"
"91367","217","21.7","Low","47600","3","2","Woodland Hills","22.8","Low","22.2","Low","32.6","Low","4.3","13.8","0.9","0.4","5.7","17.5","6.2","4","1.3","2.1","1.7"
"91711","218","21.4","Low","36284","5","3","Claremont","17","Lowest","30.8","Low","25.8","Low","5.2","26.3","2.5","0.7","6.3","18.5","5.5","5.7","1","1.4","0.6"
"90403","219","21","Low","24124","3","5","Santa Monica","7.6","Lowest","12.5","Lowest","67.7","High","2.5","7.4","1.9","0.2","1.4","15.1","4.5","4.3","1.4","3.8","6.7"
"91203","220","20.7","Low","15624","5","2","Glendale","37.3","Low","35.1","Low","5","Lowest","1.8","16.5","0.8","1.1","12.7","32.6","6.3","3.6","0.9","0.4","0.3"
"90277","221","20.3","Low","34490","2","8","Redondo Beach","12","Lowest","8.6","Lowest","65.6","High","2.9","14.1","1.5","0.4","2.9","10.8","4","4.1","2.1","2.5","3.9"
"90278","222","19.9","Lowest","41404","2","8","Redondo Beach","26.4","Low","8.2","Lowest","38.4","Low","3.4","17.1","1.4","0.4","3.8","11","3.6","3.6","1.9","2.4","1.4"
"91776","223","19.6","Lowest","38105","1","3","San Gabriel","29.3","Low","41.2","Moderate","4.7","Lowest","0.5","26.8","0.7","0.4","24.3","39.6","5.4","4.6","0.4","1.7","0.4"
"90024","224","19.2","Lowest","40442","3","5","Westwood","3.6","Lowest","24.7","Low","52.3","Moderate","2.7","10.7","1.1","0.7","3.7","41.6","5.1","4.8","0.8","1.6","13.5"
"90240","225","18.8","Lowest","26487","4","7","Downey","34.4","Low","32.6","Low","5.4","Lowest","1.3","73.3","1.2","0.4","20.6","20.7","3.1","3.9","0.5","2.9","1.2"
"91355","226","18.5","Lowest","31918","5","2","Unincorporated Santa Susana Mountains","17.8","Lowest","12.9","Lowest","44.4","Moderate","2.9","22.2","1.5","0.6","5","16","4.9","5.7","1.1","1.2","1.4"
"91754","227","18.1","Lowest","33218","1","3","Monterey Park","32.2","Low","38.7","Low","4.3","Lowest","0.7","32.9","0.8","0.5","18.3","33.5","5.5","3.8","0.4","2.1","1.3"
"93532","228","17.8","Lowest","4138","5","2","Ridge Route","14.9","Lowest","44.1","Moderate","14","Lowest","1.7","34.8","4.5","0.4","14.9","28.8","6.4","1.7","1","0.2","2.8"
"91803","229","17.4","Lowest","30230","1","3","Alhambra","29.7","Low","33","Low","5.7","Lowest","1.7","40.2","0.7","0.2","19.5","35","4.4","4.6","0.6","2.4","0.4"
"90265","230","17","Lowest","19636","3","5","Unincorporated Santa Monica Mountains","5.8","Lowest","7.9","Lowest","70.6","High","2.1","10.7","2.1","0.5","2.4","12.3","4.3","3.8","1.5","1.8","12.1"
"91403","231","16.7","Lowest","26002","3","2","Sherman Oaks","15.6","Lowest","17.6","Lowest","37.3","Low","5.5","13.2","0.8","0.2","2.9","14.9","6.1","4.6","1.3","2.4","1.3"
"91202","232","16.3","Lowest","23565","5","2","Glendale","18.1","Lowest","24","Low","19.4","Lowest","3.6","13.6","0.5","0.3","10.5","24.4","6.7","4","1.2","0.6","0.7"
"91008","233","15.9","Lowest","982","5","3","Bradbury","27.5","Low","7.2","Lowest","26.9","Low","1.6","18.8","0.9","1.1","6.5","13.9","","3.7","3.1","0.1","0"
"91423","234","15.6","Lowest","32241","3","2","Sherman Oaks","13","Lowest","16.1","Lowest","34.8","Low","6.6","14.6","0.7","0.2","3.7","18","5.9","3.6","1.6","1.8","1.6"
"90402","235","15.2","Lowest","11538","3","5","Santa Monica","2.2","Lowest","20.8","Low","49.5","Moderate","0.8","9.3","0.3","0.3","1.2","10.8","5.7","3.8","2","8.7","2.4"
"90638","236","14.9","Lowest","48789","4","7","La Mirada","23.6","Low","34.1","Low","7.5","Lowest","1.8","42","1.3","0.7","10.6","19.5","6.1","4.2","0.7","1.7","0.8"
"91780","237","14.5","Lowest","35997","5","3","Temple City","23.2","Low","20.4","Low","14.3","Lowest","1.1","20.7","1.6","0.8","13.7","27","3.2","5.3","0.6","1.1","1"
"90210","238","14.1","Lowest","20409","3","5","Beverly Crest","12.7","Lowest","15.4","Lowest","33.7","Low","1.2","4.4","0.5","0.1","5","13.2","5.1","4.5","1.5","4.7","0.5"
"91350","239","13.8","Lowest","37385","5","2","Santa Clarita","21.7","Low","9.3","Lowest","29","Low","2.7","28.9","1.3","0.5","7.1","12.5","4.1","5.3","0.9","1","1.7"
"90503","240","13.4","Lowest","44488","4","8","Torrance","19.9","Lowest","7.5","Lowest","35.8","Low","2.7","13.4","0.6","1.1","4.8","16.9","3.8","4.8","1.1","1.8","1.9"
"91390","241","13","Lowest","19023","5","2","Castaic Canyons","28.3","Low","6.1","Lowest","22.9","Low","2.3","23.2","1.3","0.1","7.3","11.1","4.1","4.5","1.1","0.8","1.2"
"90603","242","12.7","Lowest","20543","4","7","Whittier","33.3","Low","11.5","Lowest","9.3","Lowest","0.8","53.2","1.3","0.2","7.8","12.2","4.1","4.5","0.9","2.4","0.4"
"90703","243","12.3","Lowest","50559","4","7","Cerritos","9.8","Lowest","23.3","Low","20.1","Low","8.4","14.2","0.8","1","6.4","14.9","6","7.4","0.3","1.6","0.9"
"91381","244","12","Lowest","19429","5","2","Unincorporated Santa Susana Mountains","14.5","Lowest","19.4","Lowest","16.5","Lowest","3.8","14.8","2.6","1.8","3.2","11.3","5.7","4.4","1.1","0.7","0.5"
"91207","245","11.6","Lowest","10337","5","2","Glendale","19.6","Lowest","11.8","Lowest","18.3","Lowest","0.8","8.8","1.1","0","3.6","20.8","5.5","3.4","1.2","2","1.8"
"91030","246","11.2","Lowest","25745","5","3","South Pasadena","18.8","Lowest","3.9","Lowest","36.2","Low","3.1","18.5","0.5","0.1","3.8","14.8","4","4.4","1.6","1.1","0.6"
"91755","247","10.9","Lowest","26669","1","3","Monterey Park","21.4","Low","41.9","Moderate","1.4","Lowest","0.2","24.6","0.8","0.8","24.7","38.4","5.3","3.3","0.4","1.7","0.4"
"91330","248","10.5","Lowest","2746","3","2","Northridge","0.4","Lowest","71.3","High","0.7","Lowest","13.8","36.8","1.2","1.1","","","22.2","1.5","0","1.1","0.6"
"91208","249","10.1","Lowest","16859","5","2","Glendale","10.1","Lowest","11.1","Lowest","21.1","Low","0.8","11.6","2","0.2","4.9","14.5","4.4","3.5","1.1","3.1","2.6"
"91214","250","9.8","Lowest","30745","5","2","Glendale","15.9","Lowest","3.2","Lowest","29.7","Low","0.5","12.8","0.6","0.3","6","14.1","3.6","4.2","1.5","1","0.7"
"90293","251","9.4","Lowest","13476","2","5","Playa del Rey","4","Lowest","5.7","Lowest","39.8","Low","6.9","12.3","1.4","0.2","1.5","15.1","3.6","2.3","1.4","1.3","3.8"
"91354","252","9.1","Lowest","30816","5","2","Santa Clarita","14.1","Lowest","10.8","Lowest","9.7","Lowest","4.2","18.5","1.6","0.9","3.9","10.4","5","4","0.9","0.3","0.6"
"91006","253","8.7","Lowest","33267","5","3","Arcadia","10.9","Lowest","17.2","Lowest","7.2","Lowest","1.2","12.8","0.7","0.9","7.5","23.1","5","2.8","0.7","1.8","2.3"
"90254","254","8.3","Lowest","19594","2","8","Hermosa Beach","8","Lowest","5","Lowest","17.6","Lowest","1","9.4","1.3","0.2","2.6","9.7","4","2.4","1.3","2.4","1.5"
"91775","255","8","Lowest","24863","5","3","East San Gabriel","8.3","Lowest","14.7","Lowest","6.1","Lowest","1.2","24.9","1","0.5","11.3","21.3","4.1","3.8","0.8","1.6","0.9"
"91302","256","7.6","Lowest","24518","3","2","Calabasas","16.3","Lowest","2.9","Lowest","12.5","Lowest","1.1","8.9","0.7","0.4","2.8","11.7","4.3","3.6","1.2","1.4","0.1"
"90095","257","7.2","Lowest","5988","3","5","Westwood","0","Lowest","53.4","Moderate","0","Lowest","4.1","22.4","1.4","0.7","","","24.9","1.6","0.1","0.2","0.2"
"91024","258","6.9","Lowest","11015","5","3","Angeles Crest","9.1","Lowest","9.7","Lowest","8.2","Lowest","0.8","14.2","0.5","0","1.7","10.1","7","3.7","1.1","1.8","0"
"91301","259","6.5","Lowest","25890","3","2","Unincorporated Santa Monica Mountains","12.3","Lowest","2.2","Lowest","13.3","Lowest","2.4","10.4","0.3","0.2","3","12.7","4.1","3.2","1.3","0.9","0.1"
"91362","260","6.2","Lowest","1254","3","2","Westlake Village","1.1","Lowest","15.1","Lowest","8.2","Lowest","1.7","14.9","1.7","0.1","6.7","9.7","4.6","2.9","1","4","0.9"
"90272","261","5.8","Lowest","22001","3","5","Pacific Palisades","2.9","Lowest","1.1","Lowest","26.5","Low","0.5","5","1.7","0.1","1.6","8.5","3.7","3.3","1.2","0.9","2.5"
"91789","262","5.4","Lowest","43367","1","3","Walnut","9.4","Lowest","16.8","Lowest","2.2","Lowest","3.5","21.7","0.8","0.9","8.3","18.1","4.8","3.4","0.5","1.5","0.4"
"90266","263","5.1","Lowest","35509","2","8","Manhattan Beach","1.8","Lowest","4.7","Lowest","15.8","Lowest","0.4","8","0.8","0.6","2","7.4","5.1","2.7","1.5","1.3","0.4"
"91011","264","4.7","Lowest","20276","5","3","Angeles Crest","5.4","Lowest","1.4","Lowest","16.5","Lowest","0.8","10.3","0.5","0.3","2.3","8.5","3.3","3.7","1.4","1.9","0.2"
"91765","265","4.3","Lowest","46943","1","3","Diamond Bar","13.4","Lowest","13.3","Lowest","1.1","Lowest","4.1","18","0.7","0.8","5","17.5","5.5","3.2","0.5","0.9","0.1"
